GUN,TOPLAM ADIM,TOPLAM MESAFE,TOPLAM SURE,YAKILAN TOPLAM KALORI,UYKU PUANI
1,4772,2.80 KM,1:06,82,84
2,3829,2.25 KM,1:04,70,70
3,4532,2.60 KM,1:19,83,82
4,4974,3.02 KM,1:18,90,88
5,1243,0.71 KM,0:28,21,73
6,3683,2.13 KM,1:06,68,85
7,3123,1.81 KM,0:53,58,77
8,2183,1.25 KM,0:39,43,88
9,6076,3.60 KM,1:34,111,88
10,4307,2.66 KM,1:02,78,79
11,4161,2.57 KM,0:59,74,79
12,2205,1.27 KM,0:42,44,75
13,6369,3.78 KM,1:38,109,81
14,1907,1.11 KM,0:35,39,75
15,2213,1.27 KM ,0:39,42,81
16,4843,2.78 KM,1:18,81,82
17,2395,1.37 KM,0:44,50,84
18,3045,1.77 KM ,0:54,55,69
19,5385,3.11 KM,1:30,97,84
20,3287,1.88 KM,1:05,62,78
21,4480,2.62 KM,1:18,80,70
22,6071,3.51 KM,1:25,101,72
23,5707,3.32 KM,1:25,89,78
24,1814,1.04 KM,0:37,36,85
25,3741,2.17 KM,0:57,63,80
26,7054,4.25 KM,1:32,116,85
27,3999,2.29 KM,1:15,73,82
28,4596,2.69 KM,1:12,81,77
29,6259,3.81 KM,1:33,117,82
30,2848,1.63 KM,0:56,54,84
31,3574,2.06 KM,1:02,64,80
32,5954,3.46 KM,1:33,99,85
33,2834,1.62 KM,0:59,52,87
34,3049,1.76 KM,0:54,56,81
35,10004,6.19 KM,2:05,172,80
36,2579,1.48 KM,0:54,49,82
37,4189,2.42 KM,1:10,76,84
38,3942,2.31 KM,1:08,71,78
39,2645,1.52 KM ,0:55,53,76
40,3022,1.75 KM,0:56,55,80
41,3948,2.30 KM,1:01,68,90
42,6307,3.63 KM,1:26,106,95
43,4909,2.85 KM,1:12,82,89
44,2251,1.29 KM,0:49,48,82
45,4191,2.43 KM,1:11,71,79
46,8150,4.98 KM,1:56,144,75
47,2444,1.40 KM,0:49,50,85
48,3028,1.78 KM,0:49,55,88
49,5490,3.19 KM,1:32,96,81
50,9475,5.88 KM,1:58,165,55
51,5519,3.53 KM,1:07,104,94
52,2471,1.42 KM,0:43,43,81
53,6193,3.60 KM,1:33,102,78
54,3993,2.31 KM,1:10,71,85
55,2831,1.63 KM,0:55,57,91
56,1685,0.96 KM,0:39,34,88
57,1777,1:03 KM,0:32,32,87
58,2671,1.53 KM,0:51,50,81
59,3512,2.02 KM,1:00,66,68
60,1399,0.80 KM,0:35,28,82
61,3278,1.88 KM,0:57,60,83
62,1045,0.60 KM ,0:26,23,81
63,3068,1.77 KM ,1:06,64,87
64,2566,1.47 KM,0:55,48,89
65,3142,1.80 KM,0:51,57,57
66,2412,1.39 KM ,0:46,46,83
67,6059,3.74 KM,1:21,103,94
68,3298,1.89 KM,1:01,60,83
69,1765,1.01 KM,0:44,37,78
70,5671,3.32 KM,1:30,102,63
71,3709,2.16 KM,1:04,71,69
72,2970,1.70 KM ,0:51,59,75
73,3825,2.23 KM,1:08,69,82
74,11416,7.0 KM,2:20,191,93
75,4782,2.79 KM,1:18,93,63
76,5174,2.97 KM,1:29,93,76
77,3333,1.91 KM,0:54,69,80
78,1547,0.88 KM,0:37,30,79
79,2735,1.58 KM,0:49,54,83
80,1889,1.08 KM,0:44,40,88
81,10451,6.60 KM,2:13,185,65
82,9393,6.22 KM,1:47,178,78
83,2741,1.59 KM,0:52,53,84
84,3209,1.84 KM,0:51,59,86
85,2596,1.50 KM,0:46,46,77
86,2647,1.52 KM ,0:45,50,78
87,2410,1.38 KM,0:50,45,81
88,6612,3.84 KM,1:42,114,80
89,2533,1.45 KM,0:48,50,84
90,2591,1.49 KM,0:47,50,79
91,5226,3.0 KM,1:17,96,89
92,2200,1.26 KM,0:41,42,63
93,9292,5.89 KM,2:01,172,88
94,10063,6.40 KM,2:06,187,73
95,2954,1.69 KM,1:00,60,77
96,3299,1.89 KM,1:05,68,76
97,4045,2.34 KM ,1:13,77,80
98,2245,1.29 KM,0:50,46,86
99,1914,1.10 KM,0:44,38,82
100,2452,1.41 KM,0:50,50,64
